,gene,log2 fold change,p-value,p-value adj
6266,SPAC17A5.05c-antisense-1,0.07697521490924067,0.8365514896626738,5558.884648808467
3381,mug110,-0.026791859436602655,0.8366690656237019,5559.665941069499
1864,SPAC652.01,-0.021058582944063986,0.836989219227882,5561.793361769276
603,pus9,0.02441469544091038,0.8371235464909192,5562.685966432158
2998,mug124,0.04054825997930722,0.8381556003047632,5569.543964025152
4748,SPCC338.06c,-0.02483502246110455,0.8383210206708973,5570.643182358112
1197,mug106,0.041798206060680965,0.838473415263709,5571.655844427346
2018,slf1,-0.016813545186016177,0.8384974559200343,5571.815594588628
6514,utp5-antisense-1,0.04918442349365578,0.8385561177248386,5572.205402281553
6518,ata1-antisense-1,-0.06026773932891785,0.8385885166587111,5572.420693197136
139,snf21,-0.017316312003922845,0.8392012539129389,5576.492332251479
2613,tts1,-0.017043363117540112,0.8395146342685975,5578.574744714831
3165,cxr1,-0.04886268212489365,0.8404157662535865,5584.5627667550825
1245,cdc8,-0.030155977438004362,0.8405745137787368,5585.617644059706
699,its3,-0.02840772023490363,0.8406207135333315,5585.924641428987
6713,SPAC27F1.10-antisense-1,0.1506213785370168,0.8408779727843323,5587.634129151888
5631,cyp3-antisense-1,-0.045294658683702964,0.8411829266392068,5589.660547517529
4844,dbl2,0.016316702387446976,0.8415340431735742,5591.993716888401
3988,cwf29,0.022872483547356697,0.8415709317923159,5592.2388417599395
6029,SPNCRNA.275,-0.11460593593697106,0.8418036648830703,5593.785353148002
2645,pgi1,0.03416271436713134,0.8420384236372664,5595.345325069636
6194,SPNCRNA.469,0.06317637948587579,0.8425767304604552,5598.922373909725
3999,SPBC887.16,0.09388899820922439,0.8427109648632204,5599.8143615161
1684,SPAC4G8.09,0.015066126403917256,0.8428513944110927,5600.747515861711
4724,atp23,0.04269583704401418,0.8430420436124795,5602.014379804926
737,SPAC1B3.15c,-0.03063187437889305,0.843102722846327,5602.417593313843
700,tpp1,-0.02249289389056513,0.8431785231806163,5602.921286535195
5414,SPCC417.03-antisense-1,0.01653164422958197,0.8432523632623228,5603.411953878135
5785,SPNCRNA.1556,0.03792440911585796,0.8433930683392972,5604.34693911463
4495,SPCC16C4.02c,-0.020678656833582013,0.8434490644452236,5604.719033238511
1059,ubp7,-0.016737351487416712,0.843664845166324,5606.152896130223
3962,SPBC83.16c,-0.014821716056922084,0.843718755087348,5606.511127555427
2370,pmc4,-0.021730606846337073,0.8441238049381927,5609.202683814291
6196,SPNCRNA.471,0.0967651209607615,0.8443076029220485,5610.424021417012
1900,mus7,-0.02826180714409014,0.8444981202619043,5611.690009140354
3101,pdp2,-0.025445374786229987,0.8447580261399177,5613.417083699753
