gene,before_wash,plate,color,position,ratio,source
SPAP27G11.06c,0.41592920353982304,9,red,F4_,0.010638297872340441,protein-coding
SPAP27G11.07c,0.47345132743362833,9,red,F5_,0.00934579439252338,protein-coding
SPAP27G11.10c,0.4690265486725664,9,red,F6_,0.009433962264150959,protein-coding
SPAP27G11.15,0.47345132743362833,9,red,F7_,0.00934579439252338,protein-coding
SPAPB1A10.13,0.4955752212389381,9,red,F8_,0.0,protein-coding
SPAPB1A11.02,0.4955752212389381,9,red,F9_,0.0,protein-coding
SPAPB1E7.02c,0.2300884955752212,9,red,F10_,0.038461538461538464,protein-coding
SPAPB2B4.07,0.579646017699115,9,red,F12_,0.0076335877862595556,protein-coding
SPAPJ696.02,0.5442477876106195,9,red,G1_,0.024390243902439032,protein-coding
SPAPYUG7.06,0.5044247787610618,9,red,G2_,0.01754385964912281,protein-coding
SPBC106.01,0.420353982300885,9,red,G3_,0.0105263157894737,protein-coding
SPBC106.17c,0.40707964601769914,9,red,G4_,0.010869565217391321,protein-coding
SPBC1105.12,0.48230088495575224,9,red,G5_,0.009174311926605519,protein-coding
SPBC1105.18c,0.41592920353982304,9,red,G6_,0.02127659574468085,protein-coding
SPBC119.08,0.44247787610619466,9,red,G7_,0.010000000000000016,protein-coding
SPBC11C11.06c,0.4778761061946903,9,red,G8_,0.009259259259259273,protein-coding
SPBC11C11.09c,0.00442477876106194,9,red,G9_,1.000000000000003,protein-coding
SPBC11G11.01,0.44247787610619466,9,red,G10_,0.010000000000000016,protein-coding
SPBC1271.11,0.4955752212389381,9,red,G11_,0.0,protein-coding
SPBC12D12.02c,0.5530973451327434,9,red,G12_,0.0,protein-coding
SPBC12D12.04c,0.5353982300884956,9,red,H1_,0.057851239669421496,protein-coding
SPBC12D12.05c,0.5442477876106195,9,red,H2_,0.024390243902439032,protein-coding
SPBC1347.06c,0.5619469026548674,9,red,H3_,0.01574803149606299,protein-coding
SPBC1348.07,0.5353982300884956,9,red,H4_,0.024793388429752077,protein-coding
SPBC13A2.02,0.5530973451327434,9,red,H5_,0.024000000000000007,protein-coding
SPBC13E7.08c,0.5309734513274336,9,red,H6_,0.04166666666666666,protein-coding
SPBC146.10,0.5486725663716814,9,red,H7_,0.024193548387096787,protein-coding
SPBC1604.04,0.2831858407079646,9,red,H8_,0.03125,protein-coding
SPBC1683.01,0.570796460176991,9,red,H9_,0.007751937984496138,protein-coding
SPBC1685.02c,0.5398230088495575,9,red,H10_,0.008196721311475424,protein-coding
SPBC1685.04,0.5442477876106195,9,red,H11_,0.00813008130081302,protein-coding
SPBC16A3.01,0.579646017699115,9,red,H12_,0.0076335877862595556,protein-coding
SPBC16C6.10,0.5614035087719298,9,blue,A1_,0.0521705020920502,protein-coding
SPBC16E9.14c,0.5263157894736843,9,blue,A2_,0.05564853556485354,protein-coding
SPBC16E9.16c,0.5219298245614035,9,blue,A3_,0.04809957455785664,protein-coding
SPBC16E9.19,0.5175438596491229,9,blue,A4_,0.04042266505921565,protein-coding
SPBC16H5.02,0.5087719298245614,9,blue,A5_,0.041119607560236617,protein-coding
SPBC1709.06,0.5087719298245614,9,blue,A6_,0.041119607560236617,protein-coding
SPBC1709.10c,0.49999999999999994,9,blue,A7_,0.041841004184100423,protein-coding
SPBC1711.01c,0.5394736842105263,9,blue,A8_,0.038779467292580874,protein-coding
SPBC1718.01,0.017543859649122806,9,blue,A9_,0.9539748953974905,protein-coding
SPBC1773.13,0.5350877192982455,9,blue,A10_,0.023458399067151397,protein-coding
SPBC17A3.03c,0.5350877192982455,9,blue,A11_,0.023458399067151397,protein-coding
SPBC17D11.02c,0.5614035087719298,9,blue,A12_,0.022358786610878673,protein-coding
SPBC17D11.08,0.5350877192982455,9,blue,B1_,0.039097331778585646,protein-coding
SPBC17G9.02c,0.3859649122807018,9,blue,B2_,0.1409281095473564,protein-coding
SPBC18H10.13,0.4210526315789474,9,blue,B3_,0.03974895397489543,protein-coding
SPBC18H10.15,0.456140350877193,9,blue,B4_,0.027518506598004516,protein-coding
SPBC19C2.06c,0.44298245614035087,9,blue,B5_,0.028335887982103663,protein-coding
SPBC19C2.10,0.4210526315789474,9,blue,B6_,0.029811715481171557,protein-coding
SPBC19C7.04c,0.3903508771929825,9,blue,B7_,0.03215645714822999,protein-coding
SPBC19C7.09c,0.44298245614035087,9,blue,B8_,0.028335887982103663,protein-coding
SPBC19F8.02,0.46052631578947373,9,blue,B9_,0.018170950388523597,protein-coding
SPBC19F8.03c,0.49999999999999994,9,blue,B10_,0.01673640167364016,protein-coding
SPBC19F8.06c,0.46052631578947373,9,blue,B11_,0.1453676031081889,protein-coding
SPBC19G7.06,0.5657894736842106,9,blue,B12_,0.014790308455775019,protein-coding
SPBC1A4.03c,0.5263157894736843,9,blue,C1_,0.031799163179916344,protein-coding
SPBC1A4.04,0.43421052631578944,9,blue,C2_,0.028908330163560304,protein-coding
SPBC1D7.03,0.4166666666666667,9,blue,C3_,0.03012552301255231,protein-coding
SPBC20F10.06,0.46052631578947373,9,blue,C4_,0.027256425582785425,protein-coding
SPBC21.03c,0.43859649122807015,9,blue,C5_,0.0286192468619247,protein-coding
SPBC21B10.09,0.3991228070175438,9,blue,C6_,0.031449721826290876,protein-coding
SPBC21C3.18,0.43859649122807015,9,blue,C7_,0.01907949790794978,protein-coding
SPBC21D10.07,0.456140350877193,9,blue,C8_,0.009172835532668192,protein-coding
SPBC21D10.11c,0.46929824561403505,9,blue,C9_,0.008915653228013945,protein-coding
empty,0.004385964912280688,9,blue,C10_,0.9539748953974951,protein-coding
