"","gene","p_val","WT1","WT2","WT3","rpl3201_1","rpl3201_2","rpl3201_3","rpl3202_1","rpl3202_2","rpl3202_3","wt_mean","rpl3201_mean","rpl3202_mean","rpl_mean","wt_rpl3201","wt_rpl3202","rpl3201_rpl3202","wt_rpl"
"1769318_at","SPCC830.06",0.770297725289339,9.9830243246684,9.87127459391344,10.3364617155605,10.1125579185527,9.95855709713788,9.81209345895098,10.1593258878497,9.77504105022233,10.2576400172592,10.0635868780474,9.96106949154718,10.0640023184437,10.0125359049955,-0.102517386500265,0.000415440396283273,0.102932826896549,-0.051050973051991
"1769319_at","YIL157C",0.824756038291397,3.19307102011172,2.21089837085206,3.90966601196304,3.29637122539852,3.61405408128874,1.15274857287923,2.74100368041343,4.40749257071643,2.48095346172415,3.10454513430894,2.68772462652216,3.20981657095134,2.94877059873675,-0.416820507786778,0.105271436642395,0.522091944429173,-0.155774535572191
"1769320_at","YPR003C",0.297603947015947,-0.436806064258339,1.71437161538374,0.120059638566773,0.122366314584867,3.52590371929983,0.559204209926499,0.400074524191927,2.26498297331971,1.81047476587777,0.465875063230723,1.40249141460373,1.49184408779647,1.4471677512001,0.936616351373008,1.02596902456574,0.089352673192735,0.981292687969376
"1769321_at","YNR074C",0.894832251721326,3.53348605753727,3.05987335631331,3.33497124093023,3.05928626744598,3.86412019291049,3.06297514520044,0.0570025170049006,4.67867623313002,4.54815476041616,3.3094435515936,3.32879386851897,3.0946111701837,3.21170251935133,0.0193503169253675,-0.214832381409905,-0.234182698335272,-0.0977410322422685
"1769322_s_at","YLR154C-H",0.178698885674152,2.55462170880889,1.56567508594417,0.886285363129851,-0.268065359423637,0.782150854232863,0.559275829230336,0.445181356555906,1.75344059772901,1.07403050712811,1.6688607192943,0.357787108013187,1.09088415380434,0.724335630908765,-1.31107361128112,-0.577976565489959,0.733097045791156,-0.944525088385538
"1769323_at","YKL012W",0.885514148595793,3.15914239172351,0.872689208821912,-0.852779147041792,-1.38466060254971,3.33122567110353,-0.846346422542219,0.528783435902195,0.592759151765044,2.84672652785632,1.05968415116787,0.366739548670533,1.32275637184119,0.844747960255859,-0.692944602497342,0.26307222067331,0.956016823170653,-0.214936190912016
"1769324_at","YJL147C",0.967844968231208,-0.598373427847048,4.03009142937076,-1.30635078387329,-0.369978435524572,-1.06384178463622,3.36611443003297,2.54341007902161,0.438225614753534,-0.181730091645705,0.708455739216807,0.644098069957393,0.933301867376481,0.788699968666937,-0.0643576692594143,0.224846128159674,0.289203797419088,0.0802442294501297
"1769325_at","YDL216C",0.0991685646869906,2.36419268632072,1.55494587716083,-0.619025490792933,-2.87318141921205,-1.24887220942074,-1.73750275808683,0.0763574941121226,-1.29633931931346,-0.411251330119918,1.10003769089621,-1.95318546223988,-0.543744385107086,-1.24846492367348,-3.05322315313608,-1.64378207600329,1.40944107713279,-2.34850261456969
"1769326_at","SPBC1105.05",0.0375386418819286,10.6816571654695,10.2734816949979,10.3665443884097,11.8284123750779,11.1836189455333,9.91259215287331,11.5092176748625,11.4453030121534,11.4802441357358,10.440561082959,10.9748744911615,11.4782549409172,11.2265647160394,0.534313408202463,1.03769385795818,0.503380449755719,0.786003633080322
"1769327_at","SPCC1840.01c",0.278787708381877,10.0473877619357,9.82323071633559,9.78770683208701,9.4963021018293,9.12872920931344,10.570868457407,9.60893776374834,9.25750532679743,9.6678125565881,9.88610843678609,9.73196658951657,9.51141854904463,9.6216925692806,-0.15414184726952,-0.374689887741468,-0.220548040471948,-0.264415867505495
"1769328_at","SPCC895.03c",0.349283775017247,8.77231108513696,8.31038253940738,9.17200038964101,9.1433619913742,9.03556543649065,8.86262649511341,8.87975233983647,8.98637288033212,9.41451303104344,8.75156467139512,9.01385130765942,9.09354608373735,9.05369869569838,0.262286636264299,0.341981412342228,0.079694776077929,0.302134024303264
"1769329_at","YNL320W",0.374282792637791,0.331971464263121,1.19228394216447,-1.45440507485096,3.43682515704107,1.17441923015482,2.87916509871372,-0.637486989621293,-1.41249864812513,1.05207800254933,0.023283443858877,2.49680316196987,-0.332635878399032,1.08208364178542,2.47351971811099,-0.355919322257909,-2.8294390403689,1.05880019792654
"1769330_at","SPBC428.08c",0.0227533125679486,6.86716745048905,6.45230148898276,7.30935057575688,6.08317556613596,5.9426998334283,6.17448437271719,6.46911172161847,4.89427057168975,4.40955144914382,6.8762731717429,6.06678659076048,5.25764458081735,5.66221558578891,-0.809486580982413,-1.61862859092555,-0.809142009943136,-1.21405758595398
"1769331_at","YHL007C",0.39482546721421,1.56953499719154,2.27257696986964,2.23812674307451,3.62476064724937,4.5755275045854,3.29209390832355,-0.123614869066657,1.19500552320396,3.84206829818409,2.0267462367119,3.83079402005277,1.6378196507738,2.73430683541328,1.80404778334087,-0.388926585938102,-2.19297436927898,0.707560598701386
"1769333_at","YPL223C",0.651204991743296,2.03428100244747,0.560130188415511,2.81676834609895,-0.229022455812549,2.90141268680259,1.70339119441628,2.33497984899518,1.46524968950729,0.248718377692612,1.80372651232064,1.45859380846877,1.34964930539836,1.40412155693357,-0.34513270385187,-0.454077206922282,-0.108944503070412,-0.399604955387076
"1769334_at","SPBC11C11.06c",0.0356404778298822,12.7009377971109,13.2128934489816,13.0548019932036,12.0793091208055,12.4824802233483,12.9979375620854,12.2341002149693,12.4971278477605,11.250657184476,12.9895444130987,12.5199089687464,11.9939617490686,12.2569353589075,-0.469635444352322,-0.995582664030133,-0.525947219677811,-0.732609054191228
"1769335_at","YKL138C",0.622696468068394,2.92167129179951,2.81170119608666,2.46455806022868,-1.04635200927619,4.52146577124711,3.28378338716844,-0.0910927714299343,4.58002120231951,2.08623934115609,2.73264351603828,2.25296571637979,2.19172259068189,2.22234415353084,-0.479677799658496,-0.540920925356396,-0.0612431256978998,-0.510299362507447
"1769336_at","YNL126W",0.0581287496404103,2.76848307536254,2.91673719609165,2.29545389771687,-0.160647575389833,0.589766608183672,1.6303349300704,-1.85188670502027,3.16587857494622,1.9783814914449,2.66022472305702,0.686484654288078,1.09745778712362,0.891971220705847,-1.97374006876894,-1.5627669359334,0.410973132835538,-1.76825350235117
"1769337_at","SPBC83.16c",0.0215282292083361,11.3615402873942,11.5668059432559,11.2735501797947,10.773107782746,10.829339277997,11.2836590531741,11.1795740545255,11.0445669433928,10.2915584232023,11.4006321368149,10.9620353713057,10.8385664737069,10.9003009225063,-0.438596765509217,-0.562065663108022,-0.123468897598805,-0.50033121430862
"1769338_at","YKL055C",0.168095220058918,3.62489885308725,3.46736229700758,3.59293493383525,2.98878837632049,4.94160775841426,3.675030597164,3.87407773942359,3.96676972930585,4.91679588813154,3.56173202797669,3.86847557729958,4.25254778562033,4.06051168145996,0.306743549322892,0.690815757643635,0.384072208320743,0.498779653483264
"1769339_at","YML035C",0.297190077148464,-0.146799998688343,3.95351560327289,2.59919850753328,-2.93890971657488,3.57936434971429,-0.333871388644954,1.5091046285568,-0.950213876529607,1.18907586655453,2.13530470403928,0.102194414831487,0.582655539527241,0.342424977179364,-2.03311028920779,-1.55264916451203,0.480461124695753,-1.79287972685991
"1769340_at","SPAC24C9.16c",0.811990152764295,11.5599187974417,11.9291597760198,11.4348532105486,11.5369681609746,11.7738003257552,11.7963850000157,11.5451104436224,11.762917630485,11.1599978433702,11.64131059467,11.7023844955818,11.4893419724925,11.5958632340372,0.06107390091179,-0.151968622177527,-0.213042523089317,-0.0454473606328687
"1769341_at","YER087C-B",0.267893776349576,1.27002695290137,1.11859130346035,1.12492917579606,-0.855011596331274,3.82213661474129,1.0277997841838,3.16824622432195,1.77925573685711,3.61933012923003,1.17118247738593,1.33164160086461,2.85561069680303,2.09362614883382,0.160459123478682,1.6844282194171,1.52396909593842,0.922443671447892
"1769342_at","YIL160C",0.408799555541844,4.22133830337133,4.71953087539785,3.43525624905398,3.76942194700586,4.41845186849834,0.834886524309397,3.26336249829285,4.20121410219719,4.65293825177479,4.12537514260772,3.00758677993786,4.03917161742161,3.52337919867974,-1.11778836266986,-0.0862035251861117,1.03158483748374,-0.601995943927984
"1769343_at","SPAPB8E5.05",0.756672938531221,6.46286139688882,5.63012273262912,1.93327903269609,2.50253105857847,3.10702886656569,8.51061439794781,5.45804755578055,5.17504454513701,6.62014390848016,4.67542105407134,4.70672477436399,5.75107866979924,5.22890172208162,0.0313037202926454,1.0756576157279,1.04435389543525,0.553480668010272
"1769344_at","YLR050C",0.670534765722062,2.88519904193912,1.06187451062622,3.13255390357355,3.6268694031144,3.85221095021314,2.04395399902776,0.509104194821913,2.39916797149424,4.05612622925765,2.35987581871297,3.17434478411843,2.32146613185793,2.74790545798818,0.814468965405467,-0.038409686855033,-0.8528786522605,0.388029639275217
"1769345_at","YOR037W",0.430267911252873,-0.895658089445045,2.15244757732665,0.812159924040267,0.0276778718225145,2.80625253376072,-0.292586644004041,2.58894447489815,1.69089408799872,2.90227629268591,0.689649803973957,0.847114587193064,2.39403828519426,1.62057643619366,0.157464783219107,1.7043884812203,1.54692369800119,0.930926632219704
"1769346_at","YOL008W",0.696377189102746,-0.617542683645276,0.155686505154654,-1.47950834596614,-0.694115964667498,-0.895490905436104,-0.120324389316768,-0.585066972716303,0.340771200195053,-0.603088700236306,-0.647121508152253,-0.569977086473457,-0.282461490919185,-0.426219288696321,0.0771444216787964,0.364660017233068,0.287515595554272,0.220902219455932
