,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
11,R16,0.017632722331170553,0.41445197755975177,0.007354855172974783,0.002231983942019936,"[0.026944121221518375, 0.017046845075731468, 0.004405933037849062, 0.016094040918849636, 0.025448682776076575, 0.013928713827284653, 0.019215119488984942, 0.017504835455561002, 0.025168625440408942, 0.010570306069440876]",10
12,R17,0.020892762372963645,0.4809333720257102,0.009992658096401319,0.001798915622161671,"[0.027574230275347875, 0.01751556622828267, 0.010843448242627396, 0.020873750437686935, 0.026562559871525768, 0.015078857345392103, 0.0251422310610987, 0.023725182510562062, 0.025397655105214363, 0.01621414265189857]",10
13,R18,0.153641722799936,0.4660336994464199,0.07101513189575434,0.01948102773223507,"[0.2723269833502671, 0.1273287233793742, 0.09891497646601177, 0.07827792117812736, 0.13869271685986126, 0.17669735223183256, 0.13539127721813404, 0.1346008566996098, 0.12787335232158728, 0.24631306829455457]",10
14,R19,0.03783218752953981,0.45164296909479607,0.016992329640194277,0.0033190633089687977,"[0.05087885154798444, 0.04368663024735397, 0.028209737479639816, 0.035441406073923376, 0.05043367909360271, 0.033811876020923434, 0.037782976864017444, 0.03382807594660259, 0.04682982481042902, 0.01741881721092132]",10
15,R2,0.0625350571007623,0.45558047793753326,0.027924614028554756,0.007056327430463371,"[0.09668586684997978, 0.049537141687589895, 0.030838416226054117, 0.03955975870442209, 0.08146377616452542, 0.07518487142928765, 0.08040164521054713, 0.07209348438982828, 0.06320679865921337, 0.03637881168617526]",10
16,R20,0.02576791136867766,0.4759285856231082,0.012290280351754623,0.002081226824356682,"[0.037264237233861845, 0.031251655271853175, 0.017962749774981537, 0.025559071025200355, 0.03206622021875276, 0.018945243061105413, 0.024500230036694735, 0.02522149111535883, 0.02777146949038415, 0.0171367464585838]",10
17,R21,0.2660693584674213,0.3416761170091174,0.0864480780035385,0.1016981229362604,"[0.02418152283392819, 0.033804089273469826, 0.04066683528974965, 0.04123525957669331, 0.26212669507530784, 0.6990854797875032, 0.27808050401115936, 0.17643467573417218, 0.12993718607515875, 0.9751413370170706]",10
18,R22,0.017636830319165877,0.4289631159485565,0.007368190247565322,0.0020487532329173897,"[0.023592742794795077, 0.0107067515152516, 0.007662325100033165, 0.010827849872791374, 0.027233946107848496, 0.014872669971110202, 0.0198707926062857, 0.018301026632799835, 0.02399782311094312, 0.01930237547980021]",10
19,R23,0.02755589705812067,0.3926814639756929,0.010801467490376256,0.002399908196263883,"[0.02955449634343212, 0.038003450367505645, 0.022471726837755564, 0.019267117435460904, 0.025524843814081537, 0.013402036236374612, 0.02867605562737235, 0.03599551421048881, 0.02971829646578389, 0.03294543324295128]",10
20,R24,0.17226484055781482,0.4166317023078463,0.06694143881850664,0.029630321247343817,"[0.07644153858290591, 0.08400997503616643, 0.08647319846525763, 0.06526823535533899, 0.33498642259592093, 0.2802506486456202, 0.20085397124621127, 0.18885295919715744, 0.23550773532486743, 0.17000372112870216]",10
21,R25,0.028329755819656494,0.4356155544682534,0.012197972413314988,0.0034362638383070693,"[0.039061938794131335, 0.03839959704229946, 0.01930072829685917, 0.02694289478485823, 0.03806885167133274, 0.023157431470770096, 0.0305719519181364, 0.024159366695967528, 0.03815507829210969, 0.005479719230100269]",10
22,R26,0.025395875330849676,0.4276715107745085,0.010931519517791996,0.00299912958034578,"[0.028772571567188727, 0.029197815988581222, 0.01527049626393201, 0.02507501674054383, 0.028123872143905146, 0.012957473670499198, 0.02097819839951862, 0.020866953868376528, 0.025437554000914075, 0.04727880066503742]",10
