,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
10,R1_15,0.031925472120348714,0.39162073902924743,0.01252685626344976,0.004443109461728333,"[0.016353950921670666, 0.029052024920346774, 0.01951563461124557, 0.04542328679449966, 0.035633594446801274, 0.05364388878408902, 0.02734950452408481, 0.02843189196005194]",8
11,R1_16,0.03067747345841953,0.29528248729119627,0.009150179531112175,0.006364915969316226,"[0.008247142150845415, 0.03798474029828754, 0.01033660645328557, 0.0537355666874749, 0.022644373050821013, 0.05348516031030642, 0.020027068358491606, 0.038959130357843735]",8
12,R1_17,0.03194197948166139,0.4305908423014696,0.013970716950316238,0.005460233466043236,"[0.009822032245481673, 0.03967719665597653, 0.013268473835498992, 0.04319477062880392, 0.02213650206600887, 0.04954267574482871, 0.030548685005508346, 0.04734549967118409]",8
13,R1_18,0.3018757098414643,0.3809964569000206,0.1143781112887795,0.020282648803600985,"[0.20726653069684403, 0.2841035028315178, 0.25422173830490435, 0.26940173802009465, 0.3464905596641772, 0.3315568544270311, 0.3781105375855351, 0.3438542172016102]",8
14,R1_19,0.030398037644647765,0.3133697201860183,0.009469281233770879,0.006224884894606847,"[0.015829777097334064, 0.012148214672930181, 0.020900642958852706, 0.03295513977918117, 0.060011748291492736, 0.047743720113751116, 0.03952846263834336, 0.014066595605296791]",8
15,R1_2,0.05011153973314503,0.3831557843502002,0.019187088859830115,0.00636077300512893,"[0.02259328608680068, 0.04742968297687307, 0.029843768023277796, 0.06432642867778608, 0.06616318128198358, 0.06864035907107525, 0.06290742456936689, 0.03898818717799688]",8
16,R1_20,0.020239777999671516,0.36503538731374907,0.007538546595063663,0.004220661475106631,"[0.006650579800724985, 0.021946322636804322, 0.009027684730729237, 0.03003376647240285, 0.026616654319779054, 0.041353435297158306, 0.013933965492011756, 0.012355815247761614]",8
17,R1_21,0.648939614684505,0.16759898892474578,0.10934463698095999,0.06360521454298913,"[0.3511911961888253, 0.7899863395540311, 0.8346204206046703, 0.46435322683642194, 0.6968980156189123, 0.515041742752902, 0.7750066853225819, 0.7644192905976953]",8
18,R1_22,0.04790232051414385,0.21289584391169258,0.010315969342157555,0.008186202373151277,"[0.017249316418204, 0.05742673092689419, 0.033346030544111706, 0.08495894405561763, 0.024806758097474454, 0.06892575043111697, 0.03925962915930628, 0.057245404480425595]",8
19,R1_23,0.10534334732409348,0.15195435602637727,0.016233188336238838,0.015295651447242415,"[0.06483782229546446, 0.13891720121831147, 0.06565232975725863, 0.1495258720602941, 0.05313561384681777, 0.16177027067643818, 0.08329977792830932, 0.12560789080985382]",8
20,R1_24,0.10257309975022172,0.29648505953386767,0.030659600604505538,0.009621534155586345,"[0.05896122489085057, 0.11276798722973214, 0.068252578871648, 0.12022754101839693, 0.10766619728400795, 0.1431329884522363, 0.10675964479483692, 0.10281663546006498]",8
21,R1_25,0.018586227304347558,0.30497939527526313,0.005546491186166739,0.005263881814253471,"[0.00905455103409708, 0.0009715660880854006, 0.00937920469702875, 0.022947214320174273, 0.045662268364669634, 0.031396137796606716, 0.022333480763602802, 0.006945395370515812]",8
22,R1_26,0.0183599215123981,0.36733209686303775,0.006812197865662796,0.0037723710097311717,"[0.006375584507996665, 0.017171855237145085, 0.008583223919019417, 0.029440023910500053, 0.022513393000487058, 0.03708214429074381, 0.014467303696669874, 0.011245843536622861]",8
23,R1_28,0.013880739855217596,0.46256805762815023,0.0065305016408325495,0.003801833049855978,"[0.004046110380118028, 0.019955526888491778, 0.001800102051627288, 0.028791234346606676, 0.0037935744393037996, 0.020952421316122703, 0.007251447227032784, 0.024455502192437712]",8
24,R1_29,0.43238280675210106,0.30587162101366716,0.13162874117016016,0.06142479293351812,"[0.2948506815757276, 0.31172293614154084, 0.40116888028259906, 0.3119455128129174, 0.45940826611534236, 0.29148036452118214, 0.6462343001509565, 0.7422515124165427]",8
25,R1_3,0.036718585633622784,0.42019621640710253,0.015522225778285053,0.004799511643276528,"[0.017640778444734845, 0.036182183628569425, 0.024344249952565556, 0.05394724397121224, 0.03763951265126655, 0.05768720207829522, 0.035370644714967064, 0.030936869627371386]",8
26,R1_30,0.034554299976669936,0.39722154014514205,0.013946655650357501,0.0059972393495872035,"[0.014205358898573684, 0.04072799682856809, 0.011177115142783202, 0.04911291766784936, 0.02582841238354611, 0.05666722082653679, 0.02955366591960482, 0.049161712145897436]",8
27,R1_31,0.024141689934957127,0.31758217958506696,0.0077906630415707,0.0045875365161898085,"[0.016245626986116667, 0.010519585419861192, 0.01579528165861309, 0.02180310423274672, 0.047169371114891716, 0.03609740308101616, 0.03219690121594578, 0.013306245770465696]",8
28,R1_32,0.021261438080643465,0.3598433471419241,0.007671617581151624,0.0027941643789043237,"[0.013160324484818166, 0.021239794154782034, 0.010889596033641745, 0.026618356515496128, 0.03024473537982529, 0.03210510166522678, 0.020623619373561282, 0.015209977037796297]",8
29,R1_33,0.010108553331198578,0.4101752293496255,0.004189334338296069,0.0023965967903336496,"[0.00158632963201487, 0.012869284259290051, 0.0037072041995811172, 0.022151048711773844, 0.008064769056377256, 0.014475200926412858, 0.005151989329000062, 0.012862600535138565]",8
