,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
39,JB879,0.01777185293101718,0.4157777670459407,0.007420878835653932,0.0038424748285485083,"[0.0396024466394578, 0.01618911149024048, 0.01275739193533242, 0.03645438770281151, 0.02342773382681587, 0.016469498921405402, 0.012465528748458379, 0.001291416717852162, 0.011300646580004781, 0.007760366747793014]",10
40,JB884,0.027848858122809572,0.43311045243034707,0.012006588498807359,0.0035427020089620763,"[0.04422931542944136, 0.02204422230654877, 0.03894257991143806, 0.03153686827311221, 0.02537811278137822, 0.035969392245836646, 0.033481490740668016, 0.02513446910529258, 0.01234659858069306, 0.009425531853686787]",10
41,JB899,0.10342175701314364,0.38922632787369416,0.028350270643951635,0.06817160041882941,"[0.7156250780233395, 0.023949450668999447, 0.026877733018798977, 0.05632075870603174, 0.03575339517228813, 0.043849632588875254, 0.05969654060121722, 0.03198837659845209, 0.02466434073305284, 0.01549226402038129]",10
42,JB900,0.11550765943432302,0.3890764118546284,0.03283487427310642,0.07328042457637046,"[0.7718669716399307, 0.03260201634842747, 0.0774326378605897, 0.0572491296284154, 0.08072125251061033, 0.030954695773542523, 0.040029069126102726, 0.026174204602123753, 0.026832242877960592, 0.011214373975527102]",10
43,JB902,0.0823223365560656,0.3590476382812101,0.02707005482725965,0.04667975247878632,"[0.49920173266215423, 0.01745745630178697, 0.08091733427473495, 0.042732453762013164, 0.03936821685002443, 0.033999463798877125, 0.0393501773484627, 0.031573142841278594, 0.01836458051914702, 0.020258807202176782]",10
44,JB910,0.1893500081316118,0.3118951891712206,0.058644510003920534,0.06832064478084716,"[0.3897647854131888, 0.09377954344856601, 0.1996997211255944, 0.11135811477420442, 0.733995882183197, 0.05938556198956627, 0.07894239550920201, 0.07443569655475638, 0.07873225977538201, 0.07340612054246072]",10
45,JB913,0.06353286765109947,0.3992987243207597,0.026125612947042336,0.01982036828653928,"[0.23892776628270332, 0.027236801297235998, 0.0597568636860449, 0.0444329577351279, 0.06535207564767374, 0.03528928534170878, 0.045736145869657206, 0.03491856509524841, 0.03878617995677684, 0.0448920355988176]",10
46,JB914,0.9424467152212698,0.3883244917880515,0.3659656974380535,0.022199209263967012,"[1.0, 1.0, 0.7796212641732837, 1.0, 0.9899212294803574, 0.9265810638883394, 0.9151809349456009, 0.8971670742591552, 0.9905575986294917, 0.9254379868364696]",10
47,JB916,0.11769438461228114,0.48630298836624214,0.056116835308434455,0.023396986693388706,"[0.10029634443655339, 0.07474776617560573, 0.0515527417689245, 0.2552458791297299, 0.21039897613418676, 0.0959081604705613, 0.0733412801682607, 0.041366347894523314, 0.1927871211873077, 0.08129922875715823]",10
48,JB917,0.06212882903244358,0.4672896766403234,0.028092980910896022,0.02669837538986117,"[0.09227909709989342, 0.03195441276858724, 0.029226397664444223, 0.2611762767848636, 0.15347872410016314, 0.009846040215088009, 0.013388519548422547, 0.006909785260870692, 0.01286193834604193, 0.010167098536060966]",10
49,JB918,0.022374594569346574,0.4981894267115984,0.010721065994852879,0.006499997732774007,"[0.04683821220560875, 0.016001551879169, 0.014997688544174652, 0.046020192179174746, 0.06057550384015983, 0.004610177688860413, 0.00819935213733441, 0.007016670184298637, 0.012833076986856325, 0.006653520047828951]",10
50,JB929,0.0401692273065016,0.4166889283426257,0.01653169667802411,0.006133199806724969,"[0.06606623272667309, 0.010526078277041271, 0.03596900608298279, 0.04363735605593483, 0.05489928653529678, 0.054589550066937, 0.06098461203028807, 0.03733662471622846, 0.02274470856635735, 0.014938818007276377]",10
51,JB930,0.05865288956277527,0.418748848494124,0.02357529170813292,0.030564164941409143,"[0.3305340766037323, 0.01143670216296147, 0.026945031566540167, 0.041145956800244646, 0.044460142193372146, 0.026813288362342053, 0.05059573337095154, 0.031975722245992905, 0.019684815768982247, 0.0029374265526331766]",10
52,JB931,0.06657706432534524,0.46654179557087294,0.023680990178782037,0.04687462680504179,"[0.48679080302227096, 0.007408818731495021, 0.03317658710583729, 0.025074409005471476, 0.04761937057634214, 0.01153295237642816, 0.019423763549089913, 0.021205467572289402, 0.008641528118311063, 0.004896943195916978]",10
53,JB934,0.31293483827850976,0.37416508046072816,0.09670802699156208,0.09699352202711331,"[0.9060646023946846, 0.40806988723303106, 0.6152624632084018, 0.5195690684199429, 0.4187277032388037, 0.06946500728798391, 0.06483193979831406, 0.05488703157317082, 0.03781225609804175, 0.03465842353272307]",10
54,JB938,0.1845400894368753,0.4190824525767239,0.07329202557390936,0.05449047139262001,"[0.49724045146624696, 0.03534819925345442, 0.19419814027657167, 0.4251382449234553, 0.21345483303648963, 0.05517869575275627, 0.061861505007510025, 0.045831786985820896, 0.2927379697436793, 0.024411067922768554]",10
55,JB939,0.1403783278936904,0.4285764774426152,0.052150777496853484,0.06941498960271612,"[0.7403166413455154, 0.05411027869998086, 0.07425161867290178, 0.07604055597467378, 0.24233310984501566, 0.05517580098984597, 0.049410742808168866, 0.03724278759874693, 0.04098722494723997, 0.033914518054814664]",10
56,JB942,0.049362076329579646,0.3564808814060242,0.017337649468581007,0.01095868848728306,"[0.1391331662751722, 0.03602779814385987, 0.032052000797915085, 0.04648900007472118, 0.0771224845691225, 0.03555819242899576, 0.037329912467375076, 0.034238036355823606, 0.02676449990723748, 0.028905672275573727]",10
57,JB943,0.025138999814748365,0.43905528076933154,0.011087819152234443,0.0037821557087781336,"[0.04993718083371425, 0.02333972687022306, 0.021464447604659438, 0.04016503043405267, 0.030664479155403913, 0.014174620952916986, 0.02145552258651475, 0.021403470387005175, 0.017611299871411624, 0.011174219451581762]",10
58,JB953,0.2534433055962199,0.43650582284985395,0.10833140725498887,0.05621379837714011,"[0.21793882998208627, 0.21093247511531196, 0.13424071201101753, 0.2575358319066947, 0.7438821080068518, 0.18871896236867958, 0.2023865408643813, 0.18966883403915158, 0.2608160389531951, 0.1283127227148296]",10
