,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
13,JB758,0.032589365532375736,0.4439500535193173,0.014731827778135897,0.004340375306536417,"[0.04691951446741284, 0.037108358306213333, 0.026242448314941637, 0.015621359516036592, 0.035604266911072095, 0.034040245678577906]",6
14,JB759,0.02644074441848934,0.36688452487432227,0.009636910318604572,0.004388281574214449,"[0.038127766747022035, 0.02880855960703857, 0.02696870516808284, 0.007553326941862766, 0.0344768988889472, 0.02270920915798262]",6
15,JB760,0.033673898483018376,0.31577566989425415,0.010589975640782826,0.005236033606943969,"[0.04946147927430566, 0.041486297412955925, 0.0267732632028525, 0.0203287822682352, 0.04384718175048708, 0.02014638698927387]",6
16,JB762,0.03523712444491977,0.4579178362399901,0.01604271956091613,0.004426707685499377,"[0.051429035381714824, 0.037692088745893915, 0.024539659019157042, 0.026564997877509697, 0.043653440705527534, 0.027543524939715618]",6
17,JB837,0.028828451566984964,0.48888145598657534,0.014134557018484975,0.0045604699913121315,"[0.0455082257096845, 0.030588835214017358, 0.022018926145461686, 0.02108801151372074, 0.03757849293563581, 0.01618821788338968]",6
18,JB838,0.16135127455615497,0.3432730831550095,0.05623606583236643,0.012875543013568677,"[0.17684662144837604, 0.17277844160821745, 0.1373999527584849, 0.11358147382044675, 0.16446813903182275, 0.20303301866958204]",6
19,JB840,0.024450531156609404,0.48542489270067923,0.01189181066973132,0.003466593212338522,"[0.039100760569641145, 0.026338384551057536, 0.01690475657001169, 0.01936329827045026, 0.027591194028538567, 0.017404792949957212]",6
20,JB841,0.08858769490008743,0.43826399205699174,0.03860855981223036,0.004902584658005288,"[0.10077643752765171, 0.08326665157875636, 0.087981410172994, 0.1052907018521456, 0.07635023898995111, 0.07786072927902575]",6
21,JB842,0.15463042558522042,0.43371055126880265,0.0668243830405653,0.010139585233900947,"[0.15789897060438357, 0.1358258972688058, 0.14306467384629595, 0.20309320626219843, 0.1461278754523896, 0.1417719300772491]",6
22,JB845,0.017224645938087813,0.47083246524109074,0.008182770329473473,0.002596065162073315,"[0.021622858516470788, 0.01577994588928765, 0.01473401645140996, 0.006944778284171867, 0.01891679793138104, 0.025349478555805563]",6
23,JB846,0.02031249737613604,0.4570952505681143,0.009330751236173315,0.002830564231624113,"[0.0277061259358574, 0.022468409501061458, 0.017577396310694344, 0.008293163261394496, 0.020125815552297574, 0.02570407369551097]",6
24,JB848,0.025607285691963192,0.4382411540550211,0.011201744331633012,0.0031530244128695835,"[0.036229312073707075, 0.026915559032704227, 0.021037540118070776, 0.013418431941325143, 0.026881063630854716, 0.029161807355117222]",6
25,JB852,0.03443970534411608,0.4536274817867471,0.015622363452066398,0.004448522948372331,"[0.05096328485193013, 0.03816740429986913, 0.024180405796512996, 0.020616116665228414, 0.03759462796653259, 0.035116392484623185]",6
26,JB853,0.0767985536024783,0.4342793728652879,0.03323424224631039,0.01142771584791304,"[0.07267547405467421, 0.06986579244157297, 0.04461432406101108, 0.060635837312949935, 0.12639107767695187, 0.08660881606770976]",6
27,JB854,0.026901400870934244,0.453806043367345,0.012218558643953109,0.0029176920728014783,"[0.036962307643667196, 0.02938822653004397, 0.018364052374779713, 0.019437150759685256, 0.03121828754467069, 0.026038380372758643]",6
