strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
his6,0.2490014385246227,0.20551837538934986,0.05093796585523722,0.031075465234841417,"[0.28324421850595544, 0.22574991666280309, 0.2780779834869839, 0.2261717997338651, 0.4022542365349293, 0.3314670818992212, 0.3513272031191071, 0.11108756565900717, 0.1256639181616112, 0.1549704614827432]",10
fkh2,0.22033667932082968,0.39053317580379454,0.08000154691968756,0.041172132094189275,"[0.43626471862447974, 0.18573656369192673, 0.25106557425588993, 0.1758978385197473, 0.3117086777166307, 0.3770516049989104, 0.252221214145104, 0.081029981810565, 0.044157539928286145, 0.08823307951675677]",10
tom70,0.21791159030779075,0.2731031390350279,0.059149852541811265,0.026571071391560643,"[0.07798090823415149, 0.12131796620712873, 0.20471513677919614, 0.14016638919793317, 0.13422105353252872, 0.21065742094007145, 0.15319635189826955, 0.22433338826610683, 0.2795422018665099, 0.32062817556088263, 0.4744435478923948, 0.18049159994273134, 0.3457403223189509, 0.24156498936902746, 0.15967440261097837]",15
csk1,0.21711400280178209,0.39308230617568557,0.08146852539524616,0.01988590198406836,"[0.11564835176129842, 0.19824656356000722, 0.1602618718716214, 0.13021967721800295, 0.14011465409682164, 0.32502497809592656, 0.2977224900763513, 0.3150094521394317, 0.3336850967766981, 0.20346059824790355, 0.2034441973104139, 0.2836296674070154, 0.227007157610325, 0.20230756021572247, 0.12092772563919171]",15
rpl2702,0.2136380180929735,0.3906439652981002,0.07570481143213302,0.03557559799039268,"[0.01764863345852399, 0.04258123554377151, 0.11722684399607543, 0.06714275436546953, 0.06293583806229983, 0.25895539369240517, 0.1792570313228751, 0.2932336138348122, 0.3990639001016698, 0.29235367407283863, 0.21602924279959076, 0.48390010277233486, 0.3063662901270736, 0.31146650135009835, 0.15640921589476375]",15
SPNCRNA.900,0.21054367663273277,0.42830922009393346,0.08330306805178138,0.030218620137695554,"[0.39805147409671654, 0.4870980416460836, 0.4768897438503911, 0.3866338854885327, 0.481465339413202, 0.42736882317760916, 0.08156045508830312, 0.06390788233946643, 0.05916448988124339, 0.4259848895805707, 0.4786643819756404, 0.5114505155632968, 0.4185682434226136, 0.5168436107658586, 0.456257699978324, 0.32238310437207396, 0.06753010255262133, 0.05875668729296489, 0.05203842588680909, 0.11117259313142389, 0.17564498269705484, 0.09580810952731732, 0.03101909301256364, 0.11218099014591203, 0.09620242938578165, 0.09963429390332108, 0.07808230237632374, 0.1355627385038748, 0.08732865857744047, 0.034375813973350114, 0.07220079303737183, 0.05786472487753037, 0.08670326130593925, 0.05011879948350782, 0.04810203847036055, 0.03695293999698475]",36
rrp17,0.1971864827257686,0.4077492053037381,0.0801717200053553,0.034402437024357115,"[0.23425861221652589, 0.26262033717905, 0.2240235893977037, 0.11694464185328428, 0.1924603727673558, 0.39873766911764136, 0.3038626959943099, 0.07465784377110642, 0.07221784988426158, 0.09208121507644733]",10
mtx1,0.19513834174950834,0.32782659143346093,0.06570632703250043,0.04610596995557957,"[0.15166522164764387, 0.08333719218972659, 0.10517994324039749, 0.057631941531812704, 0.3233547103229451, 0.20799349758972513, 0.2772502691692936, 0.5288943968238938, 0.10525894939472434, 0.11081729558492057]",10
hst4,0.1912897005144743,0.3732681888980937,0.06775062414415647,0.031534193513859686,"[0.03088601768809667, 0.07077769774595087, 0.12142908845767755, 0.07040407590740085, 0.07197448040935422, 0.27886303419707975, 0.32616893880107656, 0.2497942585217527, 0.20408160668683503, 0.18596914491533034, 0.3796084239106479, 0.40621487615888985, 0.21535734642891902, 0.21650833135733005, 0.041308186530773026]",15
res2,0.14583896339402597,0.40290497662733443,0.05694469634246058,0.020260300960048373,"[0.06371724162940358, 0.15425677655207917, 0.07263146361666653, 0.1522013527367212, 0.14260477585619571, 0.1523686423057341, 0.17931468880737347, 0.17973982954538748, 0.2439056993177334, 0.17266145032431396, 0.08683156441648371, 0.3495142949179405, 0.09813379523365608, 0.10546798672046391, 0.034234888930236726]",15
puf4,0.14479696552026683,0.4111267462384136,0.05864808285497007,0.019526025066037293,"[0.2078269011055727, 0.21778607586089838, 0.2188155317254823, 0.11125529016765284, 0.18504416248045888, 0.15637579052817147, 0.13822764274290947, 0.08146140367265366, 0.0604166943325139, 0.07076016258635458]",10
SPAC607.02c,0.14098639828058596,0.42759155847656416,0.0586196454116634,0.02278755382716361,"[0.2347570515501783, 0.0943437558544371, 0.19760899693108158, 0.11367271282953077, 0.23053187195299793, 0.21008747470704647, 0.1428952355188496, 0.07212229415937026, 0.04852285723509954, 0.06532173206726818]",10
SPNCRNA.781,0.14056415580651815,0.496648180384364,0.0909377475432522,0.016914629752028558,"[0.09780372222889219, 0.09210643125822193, 0.04979308836076723, 0.02165839747881564, 0.05659205577731805, 0.1579938166398246, 0.12993032078957825, 0.09822784406086225, 0.0774108792957458, 0.09750249634469886, 0.12676423122131902, 0.12085082333823953, 0.08800646931209032, 0.04164495537951343, 0.10025329679712114, 0.18837123257062116, 0.15622623257140092, 0.16691014981503327, 0.13039482145283926, 0.13713850450486173, 0.1625954382769648, 0.07905580255284553, 0.14115688149971162, 0.08742319749216301, 0.06991365537190893, 0.07218406811023616, 0.039612803560850625, 0.017668597980215785, 0.10901602193485367, 0.05193332671335, 0.2209548058435692, 0.17954635582091186, 0.14919516674100594, 0.14919197008972712, 0.10865402301123998, 0.061141882047473554, 0.10738798374231782, 0.052659440922245664, 0.10739956326207507, 0.07161184954773693, 0.4639808929844973, 0.5080979121045899, 0.3939884713723296, 0.33147826373009764, 0.45395886738263463]",45
vps901,0.13952186891067897,0.39635814605588543,0.05558026707434015,0.027152263499438008,"[0.11323448995041069, 0.04574551231552896, 0.07642764315118984, 0.06981682750812487, 0.18715833810295066, 0.22696122820001896, 0.2711611928362216, 0.25241169606750485, 0.07811530614003699, 0.07418645483480217]",10
sre2,0.13854754224215843,0.4206218278226691,0.05731002795633957,0.01261318649871363,"[0.05666111422657251, 0.07836749876528659, 0.1385182060516296, 0.13321676345842384, 0.14084230731663955, 0.20394933670491047, 0.13398348143710143, 0.1840878703316382, 0.1956093956982364, 0.11085533954362714, 0.2193914000280249, 0.16606578153281853, 0.13993517758701787, 0.10105553634899728, 0.07567392460145236]",15
med18,0.12232338542353179,0.5164568634300977,0.06276080710896084,0.009455688137562436,"[0.09263690078287015, 0.10360865884291252, 0.1510982621711392, 0.14344701326861437, 0.15418596134662169, 0.12431750919643002, 0.16489646309353653, 0.10295782133862359, 0.0754392720764522, 0.11064599211811756]",10
rpt6,0.10326163343982571,0.5462286932558122,0.05616088931342461,0.009899941722681839,"[0.09999599598873408, 0.08904206608447926, 0.1257052251819555, 0.1041496489200906, 0.10272690495249928, 0.1562565403307802, 0.13857318980222363, 0.09630260565005812, 0.04887650338932578, 0.07098765409811053]",10
