	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPCC1020.14	0	0	0	0	0	0	0	0	1
SPCC10H11.01	449	567	616	579	506	453	666	660	951
SPCC10H11.02	176	240	270	236	205	229	351	369	551
SPCC1183.01	1897	1942	1716	2265	1883	1917	1078	1104	1403
SPCC1183.02	4191	4685	4485	3299	3577	3740	4759	5458	5420
SPCC1183.03c	361	366	372	408	310	294	572	576	572
SPCC1183.04c	762	810	791	970	751	701	771	869	1033
SPCC1183.05c	308	373	397	504	356	353	557	647	702
SPCC1183.06	725	824	749	967	865	934	688	846	821
SPCC1183.07	7498	7380	7033	7267	6315	6613	4656	4823	5412
SPCC1183.08c	46105	54052	51734	45295	48467	51697	67456	74246	65949
SPCC1183.09c	2408	2546	2554	2546	2481	2617	3956	4636	4714
SPCC1183.10	87	82	96	122	105	105	82	84	114
SPCC1183.11	815	745	813	626	632	663	1130	1210	1101
SPCC1183.12	18	10	21	18	12	18	9	13	11
SPCC11E10.01	3483	4217	3987	4306	4773	4844	3291	3978	2943
SPCC11E10.02c	1047	1120	1124	1000	856	814	1581	1693	1995
SPCC11E10.03	16	27	22	30	16	26	25	33	38
SPCC11E10.04	685	758	789	844	638	647	859	1015	1214
SPCC11E10.05c	1570	1637	1601	1722	1673	1846	1429	1612	1380
SPCC11E10.06c	1370	1663	1515	1531	1561	1585	1802	2033	1819
SPCC11E10.07c	4092	4440	4444	4462	4306	4303	5460	5950	5739
SPCC11E10.08	1598	1650	1636	1669	1619	1634	1610	1778	1837
SPCC11E10.09c	348	375	378	431	355	350	326	345	417
SPCC1223.01	1755	1962	1889	2187	1889	1910	1613	1927	2000
SPCC1223.02	10	10	7	9	11	6	12	17	25
SPCC1223.03c	1584	1737	1383	1083	1216	1167	1111	1149	832
SPCC1223.04c	261	344	383	394	280	314	457	446	628
SPCC1223.05c	5126	5907	5524	4474	4849	5197	5605	6505	6682
SPCC1223.06	1680	1843	1874	2277	2025	2176	1568	1703	2021
SPCC1223.07c	9390	12139	11938	10460	9437	9674	12322	13709	12063
SPCC1223.08c	9273	10129	9656	9914	9506	9925	10521	11440	10741
SPCC1223.09	741	817	853	840	987	1089	1049	1257	1036
SPCC1223.10c	378	418	487	567	428	370	740	835	962
SPCC1223.11	2810	3083	2952	3613	3257	3468	3459	3656	3604
SPCC1223.12c	152	155	151	170	112	127	138	186	203
SPCC1223.13	1672	1776	2159	3457	2752	3235	1775	1792	1681
