	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPAC22H12.01c	513	650	603	580	539	509	828	844	1663
SPAC22H12.02	1912	2244	2474	2471	2077	1935	2783	2978	4480
SPAC22H12.03	419	480	521	415	421	416	720	865	780
SPAC22H12.04c	96858	108929	104945	107673	107097	110741	106938	116684	110682
SPAC22H12.05c	1423	1436	1466	1846	1510	1515	1427	1489	1921
SPAC23A1.02c	1162	1310	1234	1578	1505	1528	1249	1392	1187
SPAC23A1.03	7028	7360	7123	7825	7521	7713	6484	7357	7216
SPAC23A1.04c	1666	1712	1567	1805	1600	1730	1464	1631	1732
SPAC23A1.05	2560	2785	2711	2591	2516	2543	3994	4686	4505
SPAC23A1.06c	1522	1365	1457	1668	1529	1622	1304	1610	1410
SPAC23A1.07	822	800	694	993	841	783	827	794	907
SPAC23A1.08c	20575	24313	23141	21357	21853	22363	28148	33744	28800
SPAC23A1.09	731	751	830	768	669	591	856	994	1072
SPAC23A1.10	9421	10069	9457	12026	13209	12779	5301	5403	10153
SPAC23A1.11	21305	23177	20487	24119	25790	25941	7686	8364	14188
SPAC23A1.12c	8962	11063	9916	9929	10146	10492	12720	14031	13524
SPAC23A1.14c	1789	1806	1808	1513	1448	1606	1927	2110	2067
SPAC23A1.15c	611	530	566	567	509	533	522	626	679
SPAC23A1.16c	164	178	192	165	159	179	137	154	140
SPAC23A1.17	6338	7118	6894	7610	7686	8080	6952	7589	7854
SPAC23A1.18c	2675	2706	2540	2956	2660	2815	2525	3040	3000
SPAC23A1.19c	606	663	793	828	628	649	960	990	1317
SPAC23A1.20	252	266	256	294	241	227	203	236	266
SPAC23C11.01	2200	2081	2098	2064	2050	2207	2592	2908	2922
SPAC23C11.02c	17870	19982	19290	19231	18298	18560	23415	25868	23814
SPAC23C11.03	1380	1714	1754	1817	1470	1465	1625	1711	2496
SPAC23C11.04c	389	403	396	426	397	363	577	707	622
SPAC23C11.05	22734	25804	25750	23940	24986	25916	39653	43574	36587
SPAC23C11.06c	711	796	707	758	695	753	2862	3274	2820
SPAC23C11.07	37	19	22	25	19	28	18	26	18
SPAC23C11.08	1018	1160	1225	1238	1262	1273	2091	2464	2158
SPAC23C11.09	12074	12689	12032	13194	12279	13171	7675	8102	9505
SPAC23C11.10	101	104	102	133	132	128	245	294	251
SPAC23C11.11	13233	14740	13266	14884	13471	14035	8922	9456	11007
SPAC23C11.12	289	398	396	307	313	320	509	631	505
SPAC23C11.13c	4035	4371	4127	4735	4553	4946	3585	4160	3834
SPAC23C11.14	11125	12565	11509	8899	9593	10251	23242	26350	22402
SPAC23C11.15	1581	1872	1780	1993	1777	1815	1769	1913	2479
SPAC23C11.16	708	742	776	757	659	650	676	708	741
SPAC23C11.17	4865	4952	4518	4077	4011	4011	1731	1941	2124
SPAC23C4.02	701	851	871	991	915	967	686	770	1044
SPAC23C4.03	2291	2583	2677	2853	2352	2467	2755	3018	3958
SPAC23C4.04c	145	180	199	161	158	171	214	260	218
SPAC23C4.05c	3239	3266	2964	4276	3940	3964	3063	3347	3725
SPAC23C4.06c	702	752	854	845	596	569	914	983	1293
SPAC23C4.07	39	68	59	37	35	35	126	132	98
SPAC23C4.08	3727	3946	3857	3931	3763	3820	4203	4720	4579
SPAC23C4.09c	515	619	781	710	617	587	1213	1349	1479
SPAC23C4.10	1087	1252	1220	1314	1221	1345	1494	1540	1663
SPAC23C4.11	425	431	478	516	507	536	588	632	538
SPAC23C4.12	2230	2286	2251	2121	2165	2256	3432	3759	3227
SPAC23C4.13	1497	1709	1570	1560	1232	1400	2013	2298	1993
SPAC23C4.14	1556	1769	1806	2193	2160	2377	1455	1582	1737
SPAC23C4.15	3972	4236	4005	4083	4094	4245	3734	4489	4189
SPAC23C4.16c	1630	1821	1661	1695	1685	1716	2371	2546	2637
SPAC23C4.17	1480	1587	1497	2050	1660	1691	1379	1563	1952
SPAC23C4.18c	611	639	676	749	589	639	700	803	878
SPAC23C4.19	1769	2077	2174	2322	1937	1840	1970	2104	2758
SPAC23D3.01	664	875	992	906	777	718	1017	1214	1520
SPAC23D3.02	923	964	898	934	800	880	992	968	1307
SPAC23D3.03c	3830	4008	3853	4337	4109	4194	3465	3816	3944
SPAC23D3.04c	9165	10301	9494	7101	7557	7966	17662	19756	13418
SPAC23D3.05c	108	90	121	234	148	164	155	147	176
SPAC23D3.06c	2953	3373	3081	3866	3556	3801	3038	3289	3772
SPAC23D3.07	2824	2880	2772	2819	2489	2601	3251	3567	4421
SPAC23D3.08	2976	3215	3017	3339	3255	3274	1703	1879	2181
SPAC23D3.09	810	903	965	1133	930	1028	1076	1072	1385
SPAC23D3.10c	3451	3610	3533	2891	2589	2794	3639	4176	3692
SPAC23D3.11	414	449	434	493	532	597	352	388	609
SPAC23D3.12	4060	3828	3721	4757	4980	5590	2924	3139	2611
SPAC23D3.13c	1735	1846	1800	1996	1761	1893	1604	1805	2090
SPAC23D3.14c	759	829	781	1100	1074	1047	389	398	559
SPAC23D3.16	357	341	363	472	454	397	390	399	482
SPAC23D3.17	228	329	327	255	218	160	654	761	648
SPAC23E2.01	3192	3377	3229	2867	2816	3123	4163	4739	3498
SPAC23E2.02	1757	1876	1759	1891	1751	1911	2060	2176	2137
SPAC23E2.03c	555	605	596	509	502	557	550	645	459
SPAC23G3.01	4681	4819	4477	5194	4755	5084	3518	3652	4171
SPAC23G3.02c	1330	1460	1407	1448	1363	1282	1613	1690	1832
SPAC23G3.03	1669	1905	1933	1913	1822	2017	2074	2416	2653
SPAC23G3.04	893	945	845	952	810	830	687	801	724
SPAC23G3.05c	2227	2417	2412	2528	2349	2460	3181	3934	3228
SPAC23G3.06	6817	8113	8319	9155	8271	8729	9215	10115	11091
SPAC23G3.07c	585	668	703	799	619	625	962	1069	1171
SPAC23G3.08c	3857	4056	3711	3799	3698	4047	3821	4338	4469
SPAC23G3.09	1057	1285	1340	1363	1108	1082	1370	1508	1857
SPAC23G3.10c	644	832	924	769	619	662	1245	1309	1637
SPAC23G3.11	1784	1980	2023	1894	1587	1560	2638	2817	3544
SPAC23G3.12c	3453	3625	3471	4027	3430	3389	2776	2845	3755
SPAC23H3.02c	626	633	646	564	527	537	859	929	778
SPAC23H3.03c	292	405	448	359	333	289	488	595	735
SPAC23H3.04	252	312	322	439	379	383	489	574	481
SPAC23H3.05c	2030	2092	1949	2083	1782	1773	1515	1700	1702
SPAC23H3.06	1847	2104	1904	2334	2137	2230	2175	2466	2698
SPAC23H3.07c	1361	1531	1537	1551	1470	1523	1151	1296	1372
SPAC23H3.08c	180	213	232	259	207	185	300	319	337
SPAC23H3.09c	15578	16366	16177	13990	13363	14206	28503	31480	24749
SPAC23H3.10	1733	1783	1780	2175	1742	1882	1475	1626	1878
SPAC23H3.11c	777	768	763	783	667	712	775	807	862
SPAC23H3.12c	254	258	221	263	237	252	250	243	287
SPAC23H3.13c	1953	2025	1837	1874	1792	2013	1575	1788	1786
SPAC23H3.14	1207	1423	1411	1479	1346	1413	1371	1559	1837
SPAC23H3.15c	87	104	76	38	45	39	1845	2129	1273
SPAC23H4.01c	2180	2586	2731	3577	2989	3183	2187	2306	2866
SPAC23H4.02	2059	2223	2098	1951	1903	2057	2450	2577	2223
SPAC23H4.03c	2616	2977	2787	2891	2741	2761	3123	3473	3640
SPAC23H4.04	266	352	400	351	292	288	752	706	879
SPAC23H4.05c	65	53	55	39	31	43	194	192	171
SPAC23H4.06	4830	4355	4630	3886	4038	4310	3934	3924	4364
SPAC23H4.07c	743	1006	1012	894	812	773	1409	1567	1902
SPAC23H4.08	426	553	586	498	459	466	869	993	982
SPAC23H4.09	8037	8854	8485	10406	8682	8521	7347	8067	9934
SPAC23H4.10c	1914	1807	1708	1616	1434	1398	1163	1372	1620
SPAC23H4.11c	281	388	410	327	273	268	538	499	590
SPAC23H4.12	1451	1758	1944	1922	1596	1637	2225	2464	2986
SPAC23H4.13c	654	704	668	685	612	587	853	963	993
SPAC23H4.14	1097	1020	992	1347	1129	1169	784	881	1101
SPAC23H4.15	3397	3380	3253	4209	3453	3392	2634	2850	3354
SPAC23H4.16c	1018	1079	1075	1167	1085	1115	1114	1249	1368
SPAC23H4.17c	425	485	463	498	473	512	434	483	609
SPAC23H4.18c	615	656	720	708	637	541	1542	1686	1652
SPAC23H4.21	178	184	176	154	155	157	266	317	264
SPAC24B11.05	1435	1315	1387	1149	1181	1261	1692	1923	1603
SPAC24B11.06c	8473	9134	8984	9544	8882	9435	9648	10784	11337
SPAC24B11.07c	1550	1593	1560	1672	1518	1790	1695	1960	1629
SPAC24B11.08c	4190	4883	4865	5041	5085	5244	5698	6544	5710
SPAC24B11.09	1808	1862	1804	1522	1490	1615	2552	2675	2024
SPAC24B11.10c	2380	2493	2073	2900	2636	2822	1834	2110	2095
SPAC24B11.11c	2118	2336	2162	2285	1985	2178	1745	1784	1939
SPAC24B11.12c	3380	3445	3471	4461	3811	4024	4220	4418	3988
SPAC24B11.13	6226	6754	6114	6553	6434	7081	6077	7232	6564
SPAC24B11.14	131	117	160	196	154	122	175	230	228
SPAC24C9.02c	567	757	842	686	578	581	793	789	925
SPAC24C9.03	7409	8312	7889	8527	8826	9149	7635	8265	8726
SPAC24C9.04	876	1070	1177	973	809	872	1763	1933	2077
SPAC24C9.05c	1100	1400	1315	1634	1556	1468	1115	1268	1566
SPAC24C9.06c	22532	25854	23868	18058	18789	19918	15465	16218	15979
SPAC24C9.07c	1389	1477	1469	1476	1359	1418	1471	1585	1411
SPAC24C9.08	6462	7075	7160	6724	6362	6838	10022	11644	9742
SPAC24C9.09	333	440	466	408	379	358	517	625	835
SPAC24C9.10c	1152	1256	1198	1346	1215	1216	1458	1573	1669
SPAC24C9.11	778	933	1017	1029	891	887	1099	1281	1506
SPAC24C9.12c	45195	50348	46700	45678	47906	51282	31275	33418	35765
SPAC24C9.13c	628	659	689	635	653	647	716	785	770
SPAC24C9.14	1920	2174	1986	2076	1898	2072	2221	2568	2824
SPAC24C9.15c	38	54	41	76	62	65	51	65	54
SPAC24C9.16c	1456	1498	1321	1483	1465	1441	2178	2552	2199
SPAC24H6.01c	1158	1191	1219	1281	1222	1203	1431	1862	1577
SPAC24H6.02c	192	234	279	234	251	177	433	514	493
SPAC24H6.03	624	738	698	891	717	657	931	981	1232
SPAC24H6.04	10902	12593	12170	12073	12129	12986	13429	14428	12517
SPAC24H6.05	3160	3192	3200	2876	2743	2862	3119	3434	2723
SPAC24H6.06	697	780	737	804	663	669	764	798	1028
SPAC24H6.07	22065	23732	23427	28009	26024	25654	18388	19612	21599
SPAC24H6.08	446	381	396	425	366	398	605	629	643
SPAC24H6.09	4041	4296	4216	4008	3808	4000	5975	6439	5461
SPAC24H6.10c	9477	10530	9987	10019	10133	10774	15102	16485	13001
SPAC24H6.11c	2295	2455	2319	2669	2248	2615	2289	2579	2401
SPAC24H6.12c	1066	1130	988	1324	1152	1219	1024	1119	1236
SPAC24H6.13	3092	3187	2904	2942	2898	3223	4203	4719	2977
SPAC25A8.01c	6359	6695	6230	7022	6593	6865	6169	6957	6998
SPAC25A8.02	1514	1659	1549	1428	1433	1554	2055	2301	2362
SPAC25A8.03c	941	1072	934	1161	1100	1212	691	782	896
SPAC25B8.01	956	1050	1265	1002	757	636	1594	1723	2100
SPAC25B8.02	391	414	478	499	420	409	593	705	951
SPAC25B8.03	2853	3092	3084	3319	2949	3136	5250	5987	5028
SPAC25B8.04c	2141	2484	2297	2047	2080	2243	2493	3057	2554
SPAC25B8.05	316	412	413	493	446	423	372	408	615
SPAC25B8.06c	377	488	524	552	454	457	485	530	708
SPAC25B8.07c	1399	1479	1451	1562	1441	1578	1388	1757	1574
SPAC25B8.08	837	850	710	1013	852	829	728	840	1125
SPAC25B8.09	441	439	529	389	330	335	558	603	625
SPAC25B8.10	1654	1750	1665	1902	1869	1910	2485	2664	2236
SPAC25B8.11	5523	6169	5942	5357	5328	5630	6774	7197	6657
SPAC25B8.12c	3442	3660	3679	4548	4810	5626	10423	11589	9594
SPAC25B8.13c	3108	3179	3295	1993	1725	2007	5729	6776	6626
SPAC25B8.14	1295	1393	1242	1341	1351	1407	968	1098	1197
SPAC25B8.15c	260	327	318	381	315	337	357	372	471
SPAC25B8.16	682	768	816	830	710	761	901	1063	1251
SPAC25B8.17	1551	1822	1683	1955	2138	2265	1083	1191	1385
SPAC25B8.18	352	462	413	381	336	375	620	775	754
SPAC25B8.19c	1332	1422	1355	1406	1325	1458	1845	2189	1802
SPAC25B8.20	111	114	162	121	99	115	291	353	394
SPAC25G10.01	2268	2201	2330	2241	2041	2217	3130	3556	3364
SPAC25G10.02	61	73	79	89	80	91	103	103	94
SPAC25G10.03	12555	14139	12843	10596	10903	11532	19615	22929	19888
SPAC25G10.04c	143	163	185	176	126	123	364	417	367
SPAC25G10.05c	14297	16091	15435	16455	17673	19151	16168	17946	16295
SPAC25G10.06	8925	9008	8674	7902	7940	8070	13401	14708	13257
SPAC25G10.07c	637	786	800	898	774	812	778	843	863
SPAC25G10.08	24681	25207	22872	28252	23988	24267	17067	17932	21987
SPAC25G10.09c	9373	10730	9531	9854	10230	11264	8319	9148	9292
SPAC25H1.02	469	510	436	501	507	509	490	566	701
SPAC25H1.03	332	339	300	303	361	372	236	311	359
SPAC25H1.04	615	719	609	668	750	661	621	820	783
SPAC25H1.05	1633	1768	1774	1944	1856	2034	1574	1663	1423
SPAC25H1.06	1304	1487	1481	1547	1400	1470	1579	1679	2119
SPAC25H1.07	6477	6918	6676	7109	6714	6777	7085	7314	7815
SPAC25H1.08c	2275	2478	2395	2678	2381	2482	2551	3009	3377
SPAC25H1.09	34	27	10	21	17	11	51	38	35
SPAC25H1.10c	811	990	1076	981	843	853	1362	1700	1584
SPAC26A3.01	12834	15154	14344	13792	14345	15193	18337	20700	17715
SPAC26A3.02	1913	2065	1973	2035	1887	1992	1357	1524	1809
SPAC26A3.03c	693	378	396	417	298	278	382	322	398
SPAC26A3.04	26170	29341	28089	26738	27842	28898	33735	36246	32158
SPAC26A3.05	10171	10843	9978	10616	9976	10688	10392	11291	11855
SPAC26A3.06	541	746	719	788	666	574	812	807	899
SPAC26A3.07c	9500	10560	10010	10099	10320	10572	9326	10479	9963
SPAC26A3.08	2905	3071	2889	3679	3396	3556	1917	2048	2365
SPAC26A3.09c	3158	3204	2989	2902	2613	2676	2418	2671	2674
SPAC26A3.10	4550	4792	4920	4461	3787	4053	3677	4071	3873
SPAC26A3.11	2817	3245	3297	3059	3041	3148	4434	5024	4733
SPAC26A3.12c	2826	2813	2652	2873	2666	2853	2354	2603	2788
SPAC26A3.13c	1	1	1	0	2	1	4	5	2
SPAC26A3.14c	2378	2540	2382	2153	2185	2412	3415	4136	4253
SPAC26A3.15c	6790	7476	6802	7711	7546	7740	4432	4733	5611
SPAC26A3.16	5698	6485	6058	7082	7191	7749	4210	4837	6128
SPAC26A3.17c	1029	1157	1149	1133	1086	1007	1439	1594	1714
SPAC26F1.01	2167	2410	2206	1992	1886	2141	1660	1902	1750
SPAC26F1.02	169	235	229	201	182	176	450	533	577
SPAC26F1.03	15177	17153	17198	15429	15657	16108	24184	25909	20600
SPAC26F1.04c	883	950	842	811	704	722	1441	1660	2062
SPAC26F1.05	399	410	353	204	260	243	246	262	357
SPAC26F1.06	76401	87247	83112	87616	103779	107362	60648	65010	87690
SPAC26F1.07	12716	13073	11749	9202	9886	9526	11038	11112	13487
SPAC26F1.08c	855	859	847	913	843	886	754	816	759
SPAC26F1.09	834	964	1051	1035	865	844	1110	1108	1462
SPAC26F1.10c	1273	1364	1170	1088	1051	1054	1478	1608	1354
SPAC26F1.11	86	118	113	51	51	44	160	133	141
SPAC26F1.12c	1222	1309	1277	1780	1306	1170	1742	1685	1997
SPAC26F1.13c	12470	13418	12645	11126	10918	11510	12227	12908	10836
SPAC26F1.14c	419	485	449	390	494	500	233	225	391
SPAC26H5.02c	302	337	349	395	343	341	298	335	390
SPAC26H5.03	605	685	646	760	661	672	637	660	799
SPAC26H5.04	740	760	721	863	700	731	702	795	1137
SPAC26H5.05	3099	2780	2634	2741	2586	2677	2133	2278	2394
SPAC26H5.06	637	735	786	845	704	682	928	1133	1063
SPAC26H5.07c	13948	15585	14778	13938	14388	15292	21259	24244	20393
SPAC26H5.08c	2012	2090	2209	1883	1881	1870	3896	4477	3243
SPAC26H5.09c	13410	16272	14779	6128	7424	7685	8616	9926	8314
SPAC26H5.10c	16509	18846	17386	21564	20628	20725	19044	19952	21148
SPAC26H5.11	5007	5283	4867	5017	4669	5086	3857	4377	4291
SPAC26H5.12	1018	1177	1237	1351	1142	1174	937	1011	1238
SPAC26H5.13c	3104	3253	3262	3692	3431	3594	3079	3725	3459
SPAC27D7.02c	815	1117	1252	971	851	859	1544	1639	2183
SPAC27D7.03c	1730	1972	1719	688	759	775	298	306	311
SPAC27D7.04	250	274	302	300	254	234	422	517	573
SPAC27D7.05c	287	400	372	382	292	316	453	467	621
SPAC27D7.06	3052	3498	3426	3679	3462	3521	3148	3231	3074
SPAC27D7.07c	1507	1607	1596	1473	1326	1375	1817	1904	1891
SPAC27D7.08c	93	94	134	121	83	84	257	263	351
SPAC27D7.09c	404	555	425	742	1073	1016	1537	2002	2955
SPAC27D7.11c	9321	9810	9627	11845	8844	11144	12162	12466	13924
SPAC27D7.12c	195	221	232	217	162	156	260	336	271
SPAC27D7.13c	29	32	35	32	20	19	39	79	44
SPAC27D7.14c	2205	2470	2469	2823	2455	2726	1836	1881	2449
SPAC27E2.01	885	939	864	1008	953	1084	623	732	838
SPAC27E2.02	476	597	668	607	524	521	937	953	1128
SPAC27E2.03c	14136	15386	14669	16027	15054	16092	10561	11548	11666
SPAC27E2.04c	54	49	52	31	23	35	91	108	160
SPAC27E2.05	3326	3453	3372	3268	3015	3387	3277	3845	3573
SPAC27E2.06c	422	456	446	601	440	423	484	544	742
SPAC27E2.07	1693	1768	1724	1769	1475	1682	2128	2441	2183
SPAC27E2.08	20	14	21	3	7	9	37	37	44
SPAC27E2.09	2164	2250	2086	2601	2373	2569	2352	2679	2761
SPAC27E2.10c	267	335	309	294	250	259	410	500	497
SPAC27E2.11c	3	6	0	13	5	8	2	1	4
SPAC27E2.12	1	2	1	3	1	2	5	4	0
SPAC27E2.14	182	228	294	273	230	242	333	381	446
SPAC27F1.02c	4804	6060	6567	5351	4490	4538	8099	8425	10199
SPAC27F1.03c	337	383	451	538	390	401	494	597	561
SPAC27F1.04c	226	293	279	275	241	263	416	454	552
SPAC27F1.05c	498	533	538	464	411	451	557	654	483
SPAC27F1.06c	1950	2337	2350	2435	2076	1975	2680	2719	3627
SPAC27F1.07	10488	11305	10724	10374	10377	10872	9047	10084	10630
SPAC27F1.08	2718	2860	2806	2909	3052	3116	2749	2974	2853
SPAC27F1.09c	2183	2485	2481	2299	1993	2170	2182	2313	2667
SPAC27F1.10	25	29	20	23	29	23	46	71	62
SPAC29A4.02c	37923	42674	38533	52220	52709	53010	21784	23440	35482
SPAC29A4.03c	1068	1241	1444	1427	1248	1161	1660	1848	2074
SPAC29A4.04c	9027	10427	10405	11557	10738	10892	8809	9326	11097
SPAC29A4.05	2012	2076	2175	2282	1929	1829	2421	2829	2823
SPAC29A4.06c	227	260	312	240	209	205	425	374	475
SPAC29A4.07	353	381	428	447	366	341	487	540	618
SPAC29A4.08c	4263	4567	4316	4700	4572	4605	3110	3249	3941
SPAC29A4.09	732	943	1051	869	743	736	1000	1109	1318
SPAC29A4.10	1115	1243	1405	1330	1145	1158	1147	1277	1414
SPAC29A4.11	206	175	180	255	205	192	148	130	192
SPAC29A4.12c	33	33	31	10	13	17	227	249	225
SPAC29A4.13	1918	1993	2061	1870	1746	1722	2616	2911	2634
SPAC29A4.14c	875	997	976	892	774	814	1417	1415	1478
SPAC29A4.15	5671	6295	5985	6466	5857	5899	5301	5654	6470
SPAC29A4.16	14887	15999	14910	16189	15286	16101	8695	9313	10317
SPAC29A4.17c	246	281	285	220	288	288	297	357	302
SPAC29A4.18	2853	3245	3084	3234	3126	3367	3383	3732	3718
SPAC29A4.19c	1241	1309	1248	1145	1149	1253	1689	1879	1695
SPAC29A4.20	2441	2489	2249	2522	2128	2197	1606	1780	2071
SPAC29A4.22	1	1	1	0	0	1	0	3	0
SPAC29A4.23	15	11	18	18	6	11	35	57	40
SPAC29B12.01	1569	1798	2100	1989	1854	1878	1771	1900	2248
SPAC29B12.02c	1609	1968	2030	2343	1887	1973	2116	2124	2660
SPAC29B12.03	6422	7178	7039	6212	6488	7127	9306	11125	10173
SPAC29B12.04	9137	10078	9970	10967	10250	10508	7457	7888	11380
SPAC29B12.05c	163	170	203	194	171	135	228	222	235
SPAC29B12.06c	4703	5017	4989	5499	5307	5805	6303	7351	6316
SPAC29B12.07	2908	3212	3084	3226	2917	3007	2803	3089	3540
SPAC29B12.08	4945	5273	5456	7439	6907	8127	6174	6200	5568
SPAC29B12.10c	4119	4271	4030	4242	3698	4508	6720	7439	6565
SPAC29B12.11c	1315	1475	1515	1316	1262	1390	2211	2415	2152
SPAC29B12.12	99	85	99	101	74	103	105	111	109
SPAC29B12.13	91	97	173	80	69	66	252	257	240
SPAC29B12.14c	1130	1193	1164	1487	1253	1366	1611	1784	1473
SPAC29E6.01	1582	1789	1698	1647	1634	1793	1400	1510	1577
SPAC29E6.02	1671	2011	2165	2132	1859	1793	2099	2085	2538
SPAC29E6.03c	2119	2398	2377	2764	2440	2506	2165	2509	2799
SPAC29E6.04	304	402	422	314	271	246	364	404	559
SPAC29E6.05c	324	400	372	428	326	328	658	786	792
SPAC29E6.06c	3959	4380	4149	4714	4385	4574	4719	4870	5556
SPAC29E6.07	32	45	40	25	26	23	113	101	117
SPAC29E6.08	5531	6259	5972	5541	5788	6073	10872	12683	10675
SPAC29E6.09	427	467	456	586	486	501	519	573	551
SPAC29E6.10c	1468	1863	1938	2250	1873	1863	1853	1924	2706
SPAC2C4.03c	763	1023	1060	861	790	768	1397	1698	1733
SPAC2C4.04c	700	797	828	724	659	629	1353	1545	2003
SPAC2C4.05	7164	8026	7674	6682	7006	7177	11503	13460	14341
SPAC2C4.06c	463	562	585	552	553	518	472	543	690
SPAC2C4.07c	680	793	888	782	678	636	1002	1141	1323
SPAC2C4.08	196	208	229	233	179	191	285	291	340
SPAC2C4.09	287	266	373	357	290	278	628	725	604
SPAC2C4.10c	357	480	535	430	354	385	748	900	932
SPAC2C4.11c	4683	4685	4275	4716	4565	4524	3353	3912	3504
SPAC2C4.12c	715	959	1095	1109	838	854	1171	1215	1520
SPAC2C4.13	3220	3696	3601	3764	3626	3712	4686	5231	5430
SPAC2C4.14c	2507	2687	2540	2753	2576	2606	1771	1942	2131
SPAC2C4.15c	518	593	737	641	472	500	928	920	1095
SPAC2C4.16c	37968	43077	41546	37247	38343	40026	48909	54055	49417
SPAC2C4.17c	2343	2518	2383	2056	2029	2252	3214	3693	3051
SPAC2E12.02	3889	4089	4177	4508	3767	3732	3176	3541	4228
SPAC2E12.03c	567	629	634	350	404	380	1120	1418	924
SPAC2E12.05	287	363	349	400	279	284	493	555	563
SPAC2E1P3.01	807	792	852	998	902	930	900	1131	1091
SPAC2E1P3.02c	49	87	79	74	67	54	224	242	188
SPAC2E1P3.03c	1	0	0	0	0	0	1	0	1
SPAC2E1P3.04	2385	2664	2567	3096	2879	3012	2216	2483	2334
SPAC2E1P3.05c	7541	7518	8597	9213	8017	8970	12717	14494	11584
SPAC2E1P5.01c	2149	2171	2076	2574	2286	2316	2128	2366	2443
SPAC2E1P5.02c	416	457	430	455	418	473	390	360	404
SPAC2E1P5.03	2497	2998	3212	3272	3032	2975	3222	3296	3950
SPAC2E1P5.04c	461	528	487	569	541	543	366	355	516
SPAC2E1P5.05	1619	1864	2109	2351	1989	1899	2275	2408	2620
SPAC2F3.01	2014	2024	1980	2319	2149	2240	3142	3598	3276
SPAC2F3.02	1788	1866	1700	1885	1807	1798	1734	2073	1838
SPAC2F3.03c	1488	1796	1693	1907	1547	1633	1910	2059	2683
SPAC2F3.04c	1529	1820	1782	1989	2013	2057	2015	2342	2240
SPAC2F3.05c	438	426	418	379	324	330	576	564	605
SPAC2F3.06c	4705	5371	4799	5878	5379	5833	4676	4791	4895
SPAC2F3.07c	0	0	0	0	0	0	2	3	1
SPAC2F3.08	615	738	631	794	750	805	1418	1628	1369
SPAC2F3.09	7527	8222	8118	10947	10909	12029	7796	8653	7437
SPAC2F3.10	1966	2042	1964	1978	2008	2105	1343	1452	1781
SPAC2F3.11	2163	2453	2475	1854	1558	1624	2185	2396	2951
SPAC2F3.12c	456	611	536	616	599	618	607	644	728
SPAC2F3.13c	577	721	725	720	736	691	594	745	780
SPAC2F3.14c	324	482	452	554	472	396	694	716	946
SPAC2F3.15	2644	2517	2555	2681	2381	2657	2576	2816	2696
SPAC2F3.16	1388	1655	1697	1437	1411	1477	2375	2625	2508
SPAC2F3.17c	632	688	783	606	577	523	1049	1053	1261
SPAC2F3.18c	1448	1575	1493	1578	1678	1798	1786	2173	2095
SPAC2F7.02c	2920	3191	3058	3365	3328	3440	2857	3056	3155
SPAC2F7.03c	3185	3522	3387	3931	3434	3510	3026	3457	3150
SPAC2F7.04	1628	1690	1626	1794	1521	1572	1147	1169	1537
SPAC2F7.05c	7998	9694	10317	9606	7955	7627	11484	11133	14696
SPAC2F7.06c	29	22	19	34	12	29	68	83	107
SPAC2F7.07c	1355	1619	1594	1640	1527	1496	1676	1849	2210
SPAC2F7.08c	640	726	712	768	783	724	580	589	784
SPAC2F7.09c	905	921	970	941	758	764	630	775	935
SPAC2F7.10	1328	1456	1349	1407	1231	1310	1936	2184	1872
SPAC2F7.11	773	720	778	742	702	757	1026	1110	721
SPAC2F7.13c	6619	7429	7157	7574	7533	7997	6072	6707	7181
SPAC2F7.14c	887	953	1007	1072	832	798	930	1215	1251
SPAC2F7.15	944	1077	1166	1037	882	930	1207	1395	1400
SPAC2F7.16c	1531	1716	1784	1873	1619	1641	1817	1856	2301
SPAC2F7.17	337	549	554	550	361	401	649	649	839
SPAC2G11.02	2707	2904	2507	3037	2492	2743	1860	2037	2420
SPAC2G11.03c	2153	2446	2179	2455	2326	2304	1766	1978	2413
SPAC2G11.04	378	493	597	538	433	400	631	656	814
SPAC2G11.05c	315	356	424	423	343	322	578	679	711
SPAC2G11.06	692	833	959	852	771	754	989	1071	1429
SPAC2G11.07c	6634	6633	6127	7287	6779	6847	4706	5228	6526
SPAC2G11.08c	166	215	241	239	191	182	283	347	463
SPAC2G11.09	2834	3056	2771	3055	2919	3284	4339	5269	4139
SPAC2G11.10c	266	322	304	374	331	322	287	302	435
SPAC2G11.11c	2226	2461	2318	2537	2423	2391	2278	2543	2556
SPAC2G11.12	1196	1357	1396	1337	1155	1179	1407	1525	1827
SPAC2G11.13	1381	1467	1405	1616	1485	1703	1903	2250	1872
SPAC2G11.14	865	1057	1166	1108	1005	909	1501	1481	1905
SPAC2G11.15c	438	501	526	496	393	389	495	585	602
SPAC2H10.01	1544	1551	1865	2320	2148	2305	973	1158	896
SPAC2H10.02c	383	464	506	477	366	370	477	563	671
SPAC2H10.04	2	2	5	5	6	3	5	6	9
SPAC30.01c	2533	2551	2508	2801	2402	2556	1852	1891	2520
SPAC30.02c	497	616	641	638	522	454	880	916	1133
SPAC30.03c	1007	1037	1040	1312	1084	1018	1418	1438	1841
SPAC30.04c	7486	8309	7567	8018	8043	8413	9476	10657	9137
SPAC30C2.02	3501	3698	3413	4430	4285	4251	2335	2735	2801
SPAC30C2.03	304	397	443	336	306	312	570	655	715
SPAC30C2.04	3940	5007	5402	5313	4396	3861	6525	6647	8634
SPAC30C2.05	1003	1123	1169	1207	1039	1095	1432	1670	1832
SPAC30C2.06c	296	387	452	466	345	351	504	564	751
