,measurement,mw,mw_val_adjusted,p-value,n_sticky,n_non_sticky,index,fdr
JB762_7days_exhausted,JB762_7days_exhausted,64.0,0.3137254901960784,0.23419096626643796,4,51,75,0.330989898989899
smgrowth.Proline,smgrowth.Proline,200.0,0.32894736842105265,0.24581767587207004,4,152,76,0.3405806314897224
2percent_Maltose,2percent_Maltose,65.0,0.31862745098039214,0.24740291155385494,4,51,77,0.3405806314897224
before_wash_yes,before_wash_yes,71.0,0.32272727272727275,0.2567025395165295,4,55,78,0.3463607823844094
5mM_LiCl_150mM_NaCl,5mM_LiCl_150mM_NaCl,66.0,0.3235294117647059,0.26110744601310637,4,51,79,0.3463607823844094
smgrowth.MMS.0.0025percent,smgrowth.MMS.0.0025percent,402.0,0.6655629139072847,0.26140436406370526,4,151,80,0.3463607823844094
2percent_Fructose,2percent_Fructose,68.0,0.3333333333333333,0.2898887276245767,4,51,81,0.3772051612680937
smgrowth.CuSO4.100.uM,smgrowth.CuSO4.100.uM,398.5,0.6554276315789473,0.29180021909418574,4,152,82,0.3772051612680937
smgrowth.UV.187.2.J.m2,smgrowth.UV.187.2.J.m2,210.0,0.3523489932885906,0.3169815236807282,4,149,83,0.4048197772308095
smgrowth.CuSO4.200.uM,smgrowth.CuSO4.200.uM,392.5,0.6455592105263158,0.32369533163631536,4,152,84,0.40847268039820744
smgrowth.CuSO4.300.uM,smgrowth.CuSO4.300.uM,385.0,0.6416666666666667,0.33704061495881676,4,150,85,0.41964192108136733
smgrowth.LiCl.10.mM,smgrowth.LiCl.10.mM,218.5,0.359375,0.3404642001226188,4,152,86,0.41964192108136733
20mM_Serine,20mM_Serine,73.0,0.35784313725490197,0.36991687557725295,4,51,87,0.4507033196688369
smgrowth.Brefeldin.A.120.uM,smgrowth.Brefeldin.A.120.uM,383.5,0.6307565789473685,0.37563890419982726,4,152,88,0.4524741346043374
smgrowth.Brefeldin.A.80.uM,smgrowth.Brefeldin.A.80.uM,380.5,0.6258223684210527,0.39403857974911227,4,152,89,0.4693043758809652
lmgrowth.yes.dM.dT.best.average,lmgrowth.yes.dM.dT.best.average,56.0,0.3522012578616352,0.40251851188882415,3,53,90,0.4740773584468373
2percent_Galactose_2percent_Glycerol,2percent_Galactose_2percent_Glycerol,126.0,0.6176470588235294,0.4611279705619328,4,51,91,0.5312996182561399
2percent_Glycerol_0.0075percent_MMS,2percent_Glycerol_0.0075percent_MMS,78.0,0.38235294117647056,0.4611279705619328,4,51,92,0.5312996182561399
smgrowth.LiCl.5.mM,smgrowth.LiCl.5.mM,239.0,0.3930921052631579,0.4695248039493719,4,152,93,0.5351573034261659
smgrowth.cycloheximide.100.ng.ml,smgrowth.cycloheximide.100.ng.ml,369.0,0.6029411764705882,0.48623053637681224,4,153,94,0.5483025197440649
1.5mM_TBH,1.5mM_TBH,81.0,0.39705882352941174,0.5208368151764378,4,51,95,0.5811442358810779
smgrowth.hydroxyurea.10.mM,smgrowth.hydroxyurea.10.mM,175.5,0.3926174496644295,0.5291638153645166,3,149,96,0.5842850461316538
smgrowth.NaCl.150.mM,smgrowth.NaCl.150.mM,358.5,0.5896381578947368,0.5447849606584122,4,152,97,0.5953320188638319
smgrowth.hydroxyurea.15.mM,smgrowth.hydroxyurea.15.mM,181.5,0.40878378378378377,0.5936780136643589,3,148,98,0.6421415249838984
2percent_Glycerol,2percent_Glycerol,85.0,0.4166666666666667,0.6057556699066133,4,51,99,0.6482132360142538
smgrowth.MMS.0.0075percent,smgrowth.MMS.0.0075percent,347.5,0.5753311258278145,0.611521920768164,4,151,100,0.6482132360142538
lmgrowth.yes.lag.average,lmgrowth.yes.lag.average,93.0,0.5849056603773585,0.6541125541125541,3,53,101,0.6864943637220865
lmgrowth.yes.max.slope.time.average,lmgrowth.yes.max.slope.time.average,88.5,0.5566037735849056,0.7570163350637673,3,53,102,0.7736374772677116
lmgrowth.yes.integral.average,lmgrowth.yes.integral.average,89.0,0.559748427672956,0.7573593073593073,3,53,103,0.7736374772677116
smgrowth.MMS.0.005percent,smgrowth.MMS.0.005percent,272.5,0.45416666666666666,0.7590405437343586,4,150,104,0.7736374772677116
smgrowth.glycerol.2percent,smgrowth.glycerol.2percent,321.5,0.5287828947368421,0.8488143440154281,4,152,105,0.8568982901489084
lmgrowth.yes.plateau.best.average,lmgrowth.yes.plateau.best.average,83.0,0.5220125786163522,0.9130716422318785,3,53,106,0.9130716422318785
